21.04.2024 22:26:34; Receiver; ??0??I; RxString
21.04.2024 22:44:52; Receiver; ??0??I; RxString
21.04.2024 22:44:55; lomi; ??0??I; lomi
21.04.2024 22:46:07; Receiver; ??0??I; RxString
21.04.2024 22:46:08; lomi; ??0??I; lomi
21.04.2024 23:27:31; Receiver; Cross-thread operation not valid: Control 'txtVeliki' accessed from a thread other than the thread it was created on.; Greska
21.04.2024 23:28:32; lomi; novi dogadjaj\nadresa citaca: 1\nkartica nije validna\nbroj kartice: 55\n------------------------\n; lomi
21.04.2024 23:28:39; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:30:21; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:31:08; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:32:57; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:33:22; Receiver; Value was either too large or too small for an unsigned byte.; Greska
21.04.2024 23:33:50; Receiver; Value was either too large or too small for an unsigned byte.; Greska
20. 5. 2024. 12:23:04; card:0; comrec1; 91-223-251-223-219-223-219
20. 5. 2024. 12:23:04; card:1543233371; comrec1; 255-219-251-219-219-219-91
20. 5. 2024. 12:23:04; card:0; comrec1; 219-219-219-251-219-251-219
20. 5. 2024. 12:23:04; card:2078014299; comrec1; 123-219-219-91-219-219-123
20. 5. 2024. 12:23:04; card:0; comrec1; 123-91-91-251-219-91-219
20. 5. 2024. 12:23:04; card:0; comrec1; 123-91-91-219-91-91-219
20. 5. 2024. 12:23:04; card:1532713819; comrec1; 123-91-127-91-91-123-91
20. 5. 2024. 12:23:04; card:1532713819; comrec1; 91-123-91-91-91-123-91
20. 5. 2024. 12:23:05; card:1534810971; comrec1; 123-91-91-91-91-123-91
20. 5. 2024. 12:23:05; card:2071681883; comrec1; 127-91-123-123-123-91-123
20. 5. 2024. 12:23:05; card:2071691099; comrec1; 91-91-127-223-91-219-123
20. 5. 2024. 12:23:05; card:1532754811; comrec1; 91-123-91-107-91-107-91
20. 5. 2024. 12:23:05; card:2070666107; comrec1; 123-255-91-123-91-127-123
20. 5. 2024. 12:23:05; card:0; comrec1; 239-255-123-127-123-251-255
20. 5. 2024. 12:23:05; card:2136701823; comrec1; 127-255-255-127-251-127-127
20. 5. 2024. 12:23:05; card:2139062271; comrec1; 127-255-127-127-127-127-127
20. 5. 2024. 12:23:05; card:2071952383; comrec1; 127-251-123-127-251-123-123
20. 5. 2024. 12:23:05; card:2071686011; comrec1; 111-251-123-107-123-107-123
20. 5. 2024. 12:23:05; card:1802206075; comrec1; 107-123-123-107-235-123-107
20. 5. 2024. 12:23:05; card:1803254651; comrec1; 111-107-123-111-123-123-107
20. 5. 2024. 12:23:05; card:2070637435; comrec1; 107-107-107-123-107-123-123
20. 5. 2024. 12:23:05; card:1802206059; comrec1; 255-107-123-107-107-107-107
20. 5. 2024. 12:23:05; card:2070637419; comrec1; 255-107-107-123-127-107-123
20. 5. 2024. 12:23:05; card:1802202987; comrec1; 107-123-123-111-107-123-107
20. 5. 2024. 12:23:05; card:1802201963; comrec1; 239-111-107-235-107-107-107
20. 5. 2024. 12:23:05; card:1802201963; comrec1; 111-107-123-107-107-107-107
20. 5. 2024. 12:23:05; card:1803250555; comrec1; 107-107-107-107-123-107-107
20. 5. 2024. 12:23:05; card:1802201963; comrec1; 239-251-255-255-255-235-107
20. 5. 2024. 12:23:05; card:1802201963; comrec1; 107-107-123-107-107-107-107
20. 5. 2024. 12:23:05; card:1803250539; comrec1; 255-255-111-107-107-107-107
20. 5. 2024. 12:23:05; card:1802201963; comrec1; 239-107-107-107-107-107-107
20. 5. 2024. 12:23:05; card:0; comrec1; 255-235-107-123-107-235-235
20. 5. 2024. 12:23:05; card:1802201963; comrec1; 239-255-255-107-107-107-107
20. 5. 2024. 12:23:05; card:0; comrec1; 235-235-123-235-107-107-251
20. 5. 2024. 12:23:05; card:1803283435; comrec1; 255-235-107-235-235-235-107
20. 5. 2024. 12:23:05; card:1803284459; comrec1; 239-107-235-123-107-107-107
20. 5. 2024. 12:23:05; card:0; comrec1; 255-251-171-235-235-235-235
20. 5. 2024. 12:23:05; card:0; comrec1; 239-239-255-255-175-107-235
20. 5. 2024. 12:23:06; card:0; comrec1; 235-235-235-235-235-251-239
20. 5. 2024. 12:23:06; card:0; comrec1; 235-235-235-123-235-235-235
20. 5. 2024. 12:23:06; card:0; comrec1; 235-235-171-235-235-171-251
20. 5. 2024. 12:23:06; card:0; comrec1; 235-235-235-235-235-235-251
20. 5. 2024. 12:23:06; card:0; comrec1; 255-235-251-255-239-255-251
20. 5. 2024. 12:23:06; card:0; comrec1; 255-255-235-235-239-175-235
20. 5. 2024. 12:23:06; card:0; comrec1; 251-251-251-171-235-171-175
20. 5. 2024. 12:23:06; card:0; comrec1; 175-171-235-171-251-175-235
20. 5. 2024. 12:23:06; card:0; comrec1; 175-171-235-235-235-171-175
20. 5. 2024. 12:23:06; card:0; comrec1; 255-239-235-255-255-255-251
20. 5. 2024. 12:23:06; card:0; comrec1; 255-251-251-171-171-235-171
20. 5. 2024. 12:23:06; card:0; comrec1; 255-255-251-171-171-239-171
20. 5. 2024. 12:23:06; card:0; comrec1; 255-255-255-235-175-175-171
20. 5. 2024. 12:23:06; card:0; comrec1; 235-175-171-175-239-239-171
20. 5. 2024. 12:23:06; card:0; comrec1; 175-239-175-171-175-239-239
20. 5. 2024. 12:23:06; card:0; comrec1; 251-255-255-239-175-171-175
20. 5. 2024. 12:23:06; card:0; comrec1; 255-235-175-171-175-239-175
20. 5. 2024. 12:23:06; card:0; comrec1; 175-239-175-175-171-175-235
20. 5. 2024. 12:23:06; card:0; comrec1; 255-255-239-175-171-171-175
20. 5. 2024. 12:23:06; card:0; comrec1; 175-235-175-175-175-175-175
20. 5. 2024. 12:23:06; card:0; comrec1; 239-239-175-175-175-175-239
20. 5. 2024. 12:23:06; card:0; comrec1; 171-175-175-175-239-175-175
20. 5. 2024. 12:23:06; card:0; comrec1; 239-239-175-175-175-175-175
20. 5. 2024. 12:23:06; card:0; comrec1; 175-175-175-175-239-239-175
20. 5. 2024. 12:23:06; card:0; comrec1; 175-239-239-175-175-175-175
20. 5. 2024. 12:23:06; card:0; comrec1; 255-255-255-175-175-175-175
20. 5. 2024. 12:23:06; card:0; comrec1; 175-175-239-175-175-175-175
20. 5. 2024. 12:23:06; card:0; comrec1; 175-239-175-235-175-175-175
20. 5. 2024. 12:23:06; card:0; comrec1; 175-175-239-175-175-175-175
20. 5. 2024. 12:23:06; card:0; comrec1; 175-175-175-175-175-175-175
20. 5. 2024. 12:23:06; card:0; comrec1; 239-255-255-239-255-239-255
20. 5. 2024. 12:23:07; card:0; comrec1; 239-255-239-255-239-239-239
20. 5. 2024. 12:23:07; card:0; comrec1; 239-255-239-255-255-175-175
20. 5. 2024. 12:23:07; card:0; comrec1; 175-239-175-175-239-175-239
20. 5. 2024. 12:23:07; card:0; comrec1; 175-175-175-175-175-175-175
20. 5. 2024. 12:23:07; card:0; comrec1; 175-175-175-191-175-175-175
20. 5. 2024. 12:23:07; card:0; comrec1; 175-175-173-175-173-173-175
20. 5. 2024. 12:23:07; card:0; comrec1; 255-239-255-255-239-239-255
20. 5. 2024. 12:23:07; card:0; comrec1; 175-175-175-175-175-175-175
20. 5. 2024. 12:23:07; card:0; comrec1; 255-239-255-191-255-239-255
20. 5. 2024. 12:23:07; card:0; comrec1; 173-175-175-175-175-175-175
20. 5. 2024. 12:23:07; card:0; comrec1; 175-173-173-175-175-175-175
20. 5. 2024. 12:23:07; card:0; comrec1; 175-175-175-173-173-175-189
20. 5. 2024. 12:23:07; card:0; comrec1; 175-175-191-175-175-189-175
20. 5. 2024. 12:23:07; card:0; comrec1; 255-255-255-255-255-255-255
20. 5. 2024. 12:23:07; card:0; comrec1; 173-175-175-189-173-173-189
20. 5. 2024. 12:23:07; card:0; comrec1; 255-255-255-255-255-255-255
20. 5. 2024. 12:23:07; card:0; comrec1; 175-175-173-189-189-173-173
20. 5. 2024. 12:23:07; card:0; comrec1; 189-189-189-175-189-175-175
20. 5. 2024. 12:23:07; card:0; comrec1; 175-173-189-189-189-175-189
